time,entity_name,entity_type,force_x,force_y,force_z,torque_x,torque_y,torque_z
1778598219.8803303,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.8814104,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.884129,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.885303,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.8865235,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.8889527,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.8903785,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.891422,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.8943322,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.895851,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.8974826,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.8985028,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9005392,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9024694,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9044108,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.907072,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9085,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9107795,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9124546,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9134564,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9153287,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9173667,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9194393,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9213142,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9239368,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.925372,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9264138,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9274435,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9293835,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9313939,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.933293,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9343274,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9353955,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9372938,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9393578,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.940368,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9414127,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.943359,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.944359,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.94635,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.947415,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9484322,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9503882,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9523764,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9534051,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.954867,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.956453,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9574745,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9587617,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.960465,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.961504,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9633253,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9643588,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.966414,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9683352,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9700465,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.971342,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9724114,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9736388,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.975469,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9773765,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9784105,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9803147,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9814088,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9824603,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9853854,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9873974,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9885044,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9904423,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9924648,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9943655,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9964037,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.9982898,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598219.99941,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0007327,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0023537,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.003406,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0047524,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0064268,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0084329,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0102797,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0113194,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0123296,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.014321,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0161717,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0173435,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.018372,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0194502,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0218751,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.023497,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0253375,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0275643,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0293658,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0313754,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0333624,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.034473,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0357184,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0373821,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0383923,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0403333,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0413458,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0423582,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.043414,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0454328,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0468109,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0486016,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0504017,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0514584,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0534236,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.055324,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.056354,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0574415,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.059351,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.060422,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0627718,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0643172,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0654879,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.066827,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0686924,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0703874,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0724318,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0744233,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0763621,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0784786,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
1778598220.0794997,simple_quadrotor::base_link,3,0.0,0.0,14.72,0.0,0.0,0.0
